record,name,cpf,address,birthday,Gluconise,H2B4,H356,HB_A56,Adrino_posina,Gamma_R,Nitro_K,H278,Positron_L,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
89256,Bryan Cardoso,83619570221,"Vereda Sabrina Oliveira, 14
Delta
59803556 Silveira / AP",2006-11-14,916.6484,79.16,229.16,37.5,Uncovered,2,3.07,5749.42,28.2269,DD,5,1,AB,+,True,False,False
72173,Sr. Vicente Lima,30861597230,"Largo de Fogaça, 800
Gameleira
24540-170 Martins de Araújo / RR",2013-11-22,988.7466,97.19,247.19,37.5,Clinical Done,5,2.53,285.18,22.7627,,2,1,O,+,True,False,False
95816,Otávio da Rosa,89532614737,"Jardim Vieira, 809
Gameleira
33533246 Teixeira das Pedras / MG",2008-10-23,572.7608,-6.81,143.19,37.5,Uncovered,4,3.3,8000.08,30.4776,X,5,1,O,-,True,False,False
44566,Alícia da Cruz,53027691406,"Largo Juliana Cunha, 83
Flavio Marques Lisboa
74150284 Lima de Araújo / AL",2011-07-25,1328.0542,182.01,332.01,90.83,Clinical Done,5,3.07,5737.5,28.215,DD,5,1,AB,-,False,True,True
31019,Maysa Novaes,53817096259,"Setor Nunes, 56
Conjunto Taquaril
93444-430 Dias / AP",2021-06-25,641.3129,10.33,160.33,90.83,Clinical Done,3,3.05,5476.12,27.9536,B,5,1,,+,False,True,True
84434,Dra. Isadora Viana,18702536471,"Trecho de Costela, 43
Mirante
80602-301 Castro do Campo / RS",2022-09-05,831.6505,57.91,207.91,37.5,Uncovered,3,2.9,4032.27,26.5098,B,4,0,B,+,True,False,False
33867,Lívia Fogaça,76245183928,"Vila Isabelly Vieira, 713
João Pinheiro
84834-045 Silveira / AC",2008-11-01,1100.5763,125.14,275.14,37.5,,4,2.73,2312.21,24.7897,X,4,1,AB,+,True,False,False
80232,Antônio Moreira,40861729331,"Estação Ana Julia da Mata, 82
Eymard
16687941 Ferreira / RR",2011-09-14,750.9424,37.74,187.74,37.5,Uncovered,6,3.47,9679.17,32.1567,X,5,1,A,+,True,False,False
44295,Gabrielly Nascimento,81370459297,"Ladeira da Rocha, 826
Colégio Batista
48985-570 da Cunha / AM",2016-08-10,788.4096,47.1,197.1,48.33,Uncovered,8,2.86,3584.32,26.0618,B,4,1,A,+,False,True,False
53922,Marcela da Cunha,71392504805,"Área Castro, 993
Cônego Pinheiro 2ª Seção
01493-600 da Conceição / BA",2016-08-25,818.1985,54.55,204.55,37.5,Capsuled,5,2.81,3126.24,25.6037,A,4,1,A,-,True,False,False
33201,Camila Duarte,80391745204,"Residencial de da Conceição, 9
Vila Independencia 1ª Seção
48451-150 Teixeira Verde / RR",2020-09-09,1110.2908,127.57,277.57,48.33,Uncovered,1,3.47,9728.22,32.2057,B,5,1,O,+,False,True,False
43595,Antônio da Luz,5314296870,"Recanto de Nogueira
Santa Inês
98571-368 da Luz Paulista / AL",2003-04-29,1458.4416,214.61,364.61,48.33,Capsuled,6,3.25,7554.49,30.032,X,5,1,B,+,False,True,False
35541,Sr. Daniel Silva,61942357800,"Pátio Cecília Vieira, 23
Jardinópolis
71325-260 Silveira das Flores / AC",2006-08-21,1008.3079,102.08,252.08,37.5,Uncovered,3,2.64,1467.9,23.9454,CS,3,0,AB,+,True,False,False
70703,Isabelly Silva,13509728602,"Feira Emanuel Nascimento, 28
Conjunto Serra Verde
81682931 Vieira / PI",2004-07-23,776.4149,44.1,194.1,48.33,Uncovered,6,3.22,7229.29,29.7068,DD,5,0,,-,False,True,False
11071,Maria Eduarda da Mata,40957832141,"Esplanada Maria Cecília Aragão, 85
Nova Cintra
84746775 da Cunha / MA",2006-06-27,1107.8117,126.95,276.95,48.33,Covered,2,2.7,2061.3,24.5388,CS,4,0,O,+,False,True,False
